Month,Year,Gross_sales
September,2018,2347703.8801
October,2018,2462780.5498
November,2018,3766114.4348
December,2018,2390015.5550
January,2018,2285937.6654
February,2018,1985466.3557
March,2018,2219880.1380
April,2018,1392024.5088
May,2018,2310946.5235
June,2018,1976109.6071
July,2018,2224693.7551
August,2018,1498728.5550
September,2019,7860039.2548
October,2019,8496754.2280
November,2019,12362495.3660
December,2019,8364101.0184
January,2019,7607522.3574
February,2019,6218859.5748
March,2019,7307169.1529
April,2019,4677628.0952
May,2019,7796837.3025
June,2019,6580393.9753
July,2019,7296958.9770
August,2019,4630439.4247
September,2020,17040562.2367
October,2020,19475069.3390
November,2020,28512004.1470
December,2020,18322529.1030
January,2020,18009123.4914
February,2020,15171931.8374
March,2020,1422525.1641
April,2020,1492369.1801
May,2020,2971173.8548
June,2020,6451963.4109
July,2020,9685828.6298
August,2020,10599401.4862
September,2021,37752848.1914
October,2021,40444450.5636
November,2021,62302295.5698
December,2021,39306619.9068
January,2021,37704996.3017
February,2021,30852326.3247
March,2021,36972600.0221
April,2021,22147394.9868
May,2021,37037201.2411
June,2021,29887193.8778
July,2021,36677913.9104
August,2021,21839400.7200
September,2022,153599487.9542
October,2022,159240254.3312
November,2022,259105977.1754
December,2022,161727839.5842
